Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Malawi,MWI,1968,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,692
Malawi,MWI,1967,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,550
Malawi,MWI,1966,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,450
Malawi,MWI,1965,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,350
Malawi,MWI,1964,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,215
Malawi,MWI,1963,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,210
Malawi,MWI,1962,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,200
Malawi,MWI,1961,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,198
Malawi,MWI,2009,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,59977.7777777778
Malawi,MWI,2008,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,66100.5494505495
Malawi,MWI,2007,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,96273.8461538462
Malawi,MWI,2006,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,83233.5616438356
Malawi,MWI,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,21.6058956106086
Malawi,MWI,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,30.3523560855263
Malawi,MWI,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,37.6825681023849
Malawi,MWI,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,27.2946263363487
Malawi,MWI,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,24.6373677083333
Malawi,MWI,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,29.5227777777778
Malawi,MWI,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,35.3764864864865
Malawi,MWI,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,30.8457142857143
Malawi,MWI,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,34.8704347826087
Malawi,MWI,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,41.7186666666667
Malawi,MWI,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,36.8245454545455
Malawi,MWI,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,30.491875
Malawi,MWI,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,34.406
Malawi,MWI,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,31.0773333333333
Malawi,MWI,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,29.7136842105263
Malawi,MWI,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,57900
Malawi,MWI,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,57900
Malawi,MWI,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,57900
Malawi,MWI,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,57900
Malawi,MWI,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,57350
Malawi,MWI,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,55850
Malawi,MWI,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,56850
Malawi,MWI,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,54850
Malawi,MWI,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,54350
Malawi,MWI,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,49850
Malawi,MWI,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,52850
Malawi,MWI,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,51800
Malawi,MWI,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,49800
Malawi,MWI,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,49800
Malawi,MWI,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,48300
Malawi,MWI,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,48300
Malawi,MWI,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,47300
Malawi,MWI,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,46800
Malawi,MWI,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,45800
Malawi,MWI,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,44300
Malawi,MWI,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,43800
Malawi,MWI,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,42800
Malawi,MWI,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,40700
Malawi,MWI,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,42700
Malawi,MWI,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,42700
Malawi,MWI,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,43200
Malawi,MWI,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,42180
Malawi,MWI,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,41650
Malawi,MWI,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,41150
Malawi,MWI,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,41100
Malawi,MWI,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,41050
Malawi,MWI,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,40050
Malawi,MWI,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,39900
Malawi,MWI,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,39400
Malawi,MWI,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,40300
Malawi,MWI,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,39300
Malawi,MWI,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,38300
Malawi,MWI,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,39700
Malawi,MWI,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,39680
Malawi,MWI,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,39150
Malawi,MWI,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,39120
Malawi,MWI,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,39100
Malawi,MWI,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,39600
Malawi,MWI,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,39570
Malawi,MWI,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,39070
Malawi,MWI,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,38570
Malawi,MWI,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,37070
Malawi,MWI,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,37570
Malawi,MWI,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,37070
Malawi,MWI,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,36050
Malawi,MWI,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,36530
Malawi,MWI,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,36030
Malawi,MWI,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,34000
Malawi,MWI,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,33500
Malawi,MWI,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,33000
