Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Malawi,MWI,2014,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,14.2
Malawi,MWI,2009,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,15.6
Malawi,MWI,2014,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,28.1
Malawi,MWI,2009,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,23.9
Malawi,MWI,2015,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,73.3858
Malawi,MWI,2014,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,73.33242
Malawi,MWI,2010,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,69.98174
Malawi,MWI,1998,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,70.70072
Malawi,MWI,1987,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,49.12807
Malawi,MWI,2015,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1.01233
Malawi,MWI,2014,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.9308
Malawi,MWI,2010,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.94227
Malawi,MWI,1998,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.86125
Malawi,MWI,1987,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.69744
Malawi,MWI,2015,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,72.49172
Malawi,MWI,2014,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,78.78466
Malawi,MWI,2010,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,74.26925
Malawi,MWI,1998,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,82.09123
Malawi,MWI,1987,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,70.44065
Malawi,MWI,2015,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,55.20411
Malawi,MWI,2014,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,55.13099
Malawi,MWI,2010,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,51.25197
Malawi,MWI,1998,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,53.99712
Malawi,MWI,1987,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,33.52302
Malawi,MWI,2015,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,69.75397
Malawi,MWI,2014,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,75.97926
Malawi,MWI,2010,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,72.09765
Malawi,MWI,1998,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,74.92641
Malawi,MWI,1987,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,65.2795
Malawi,MWI,2018,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00899
Malawi,MWI,2017,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.03159
Malawi,MWI,2016,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.02666
Malawi,MWI,2015,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.02041
Malawi,MWI,2014,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.01878
