Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Malawi,MWI,2010,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Malawi,MWI,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Malawi,MWI,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,0
Malawi,MWI,2010,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Malawi,MWI,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Malawi,MWI,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0
Malawi,MWI,2010,Urban land area (sq. km),AG.LND.TOTL.UR.K2,1815.103394
Malawi,MWI,2000,Urban land area (sq. km),AG.LND.TOTL.UR.K2,1815.103394
Malawi,MWI,1990,Urban land area (sq. km),AG.LND.TOTL.UR.K2,1815.103394
Malawi,MWI,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,57.5
Malawi,MWI,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,42
Malawi,MWI,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,48.7
Malawi,MWI,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,46.1
Malawi,MWI,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,36.6
Malawi,MWI,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,37.1
Malawi,MWI,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,32.6
Malawi,MWI,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,34.7
Malawi,MWI,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,36.7473640441895
Malawi,MWI,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,35.5764350891113
Malawi,MWI,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,34.4184837341309
Malawi,MWI,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,23.5679214402619
Malawi,MWI,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,32.1418991088867
Malawi,MWI,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,30.2
Malawi,MWI,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,37.14606
Malawi,MWI,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,28.8235931396484
Malawi,MWI,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,27.7339916229248
Malawi,MWI,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,28.7
Malawi,MWI,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,25.5477905273438
Malawi,MWI,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,24.4400787353516
Malawi,MWI,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,23.3152179718018
Malawi,MWI,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,22.1692066192627
Malawi,MWI,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,21.0042724609375
Malawi,MWI,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,19.8242015838623
Malawi,MWI,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,18.6327781677246
Malawi,MWI,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,19.8
Malawi,MWI,2017,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,23.5659214726087
Malawi,MWI,2016,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,23.09261541974
Malawi,MWI,2015,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.5374293154571
Malawi,MWI,2014,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,25.1982288421354
Malawi,MWI,2013,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,24.6834787826944
Malawi,MWI,2012,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,25.7384015112371
Malawi,MWI,2011,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,25.1650089099494
Malawi,MWI,2010,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,25.6961984013482
Malawi,MWI,2005,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,25.6274060210907
Malawi,MWI,2000,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,26.142085677818
Malawi,MWI,1995,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,26.3895054532159
Malawi,MWI,1990,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,26.4690293625451
Malawi,MWI,2017,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
